MAKHACHHANG,PHUONGXA,QUANHUYEN,LOAIDICHVU,LOAIKHACHHANG,SODICHVU,SOLANBAOHONG,SOLANGOIKIEMBAOHONG,SOLANBAOHONGHAILONG,SOLANBAOHONGKHONGHAILONG,KHAOSATLAPMOI,KHAOSATLAPMOIHAILONG,KHAOSATLAPMOIKHONGHAILONG,SOLANCHAMSOC,SOLANTAMNGUNG,SOTHANGSUDUNGDICHVU,GIADICHVU,KHONGPHATSINHLUULUONG,HINHTHUCTHANHTOAN,DIEMTINNHIEM
585037,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,81818,1,1,40
585270,Phường An Thới,BTY,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,163636,0,0,72
589567,Xã Xuân Thắng,TLI,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72
585445,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,5,0,7,50000,9,0,64
587995,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,7,81818,10,0,66
588063,Phường Ba Láng,CRG,MyTV,0,6,0,0,0,0,0,0,0,3,0,7,36363,11,0,70
663396,Phường Trà An,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72
666779,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,0,0,72
662424,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,4,50000,0,0,72
672762,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,68182,0,0,72
673973,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,0,0,0,1,0,1,50000,0,0,72
662793,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72
666423,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,50000,0,0,70
666771,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,68182,3,0,72
664580,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,64
666721,Phường Hưng Phú,CRG,Fiber,0,7,0,0,0,0,1,0,1,0,0,3,150000,0,0,72
664265,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,3,0,72
666787,Phường Ba Láng,CRG,MyTV,0,3,0,0,0,0,0,0,0,0,0,3,68182,2,0,72
662342,Xã Thạnh Lợi,VTA,Fiber,0,3,0,0,0,0,0,0,0,1,0,4,154545,0,0,72
665156,Phường Châu Văn Liêm,OMN,Fiber,0,2,0,0,0,0,1,0,1,0,0,3,177272,0,0,70
667809,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,1,72
663094,Xã Thới Tân,TLI,MyTV,0,3,0,0,0,0,0,0,0,4,0,4,50000,5,0,72
663373,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,4,50000,0,0,72
665414,Phường Trà Nóc,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,50000,0,0,70
672006,Xã Trường Xuân A,TLI,MyTV,0,3,0,0,0,0,1,0,1,0,0,1,68182,0,0,58
663112,Phường Thới Thuận,TNT,MyTV,0,3,0,0,0,0,1,0,1,1,0,4,50000,1,0,72
662905,Phường Hưng Thạnh,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,0,0,96
664960,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,3,0,3,81818,0,0,72
674331,Phường Tân An,NKU,MyTV,0,4,0,0,0,0,0,0,0,0,0,0,36363,0,1,72
664735,Phường Thới An Đông,BTY,MyTV,0,3,0,0,0,0,1,0,1,1,0,3,68182,0,1,72
672663,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,72
667497,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,3,50000,0,0,72
665594,Phường An Thới,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,3,50000,1,0,70
668269,Phường Tân An,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,2,50000,0,1,72
673419,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,2,0,1,50000,0,1,58
672749,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,72
671386,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,1,50000,0,1,72
674923,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,0,72
583998,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,81818,0,0,40
585882,Phường Trà Nóc,BTY,MyTV,0,3,0,0,0,0,1,0,1,0,0,7,50000,2,1,72
654067,Xã Đông Hiệp,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,60
588912,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72
589896,Phường Phú Thứ,CRG,MyTV,1,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,96
590051,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,0,72
660727,Phường Thường Thạnh,CRG,MyTV,0,3,0,0,0,0,1,0,1,1,0,4,50000,0,1,72
610456,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,72
585663,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,2,0,7,81818,0,0,72
585502,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,37
586701,Phường An Bình,NKU,Fiber,0,2,0,0,0,0,1,0,1,0,0,7,154545,0,1,40
657081,Phường Thới Hòa,OMN,MyTV,0,5,0,0,0,0,0,0,0,1,0,5,81818,0,0,72
585536,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,0,0,7,50000,0,0,40
585537,Phường Cái Khế,NKU,Fiber,0,3,0,0,0,0,0,0,0,0,0,7,177272,0,0,40
657843,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,6,0,70
658387,Phường Tân Phú,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,1,0,60
587452,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,4,0,72
588000,Phường Thới Thuận,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,81818,1,0,72
610461,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,7,0,66
657368,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,0,1,72
587100,Phường An Nghiệp,NKU,Fiber,0,2,1,0,0,0,1,0,1,0,0,7,154545,0,0,40
592451,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,64
657210,Xã Tân Thới,PDN,MyTV,0,2,0,0,0,0,0,0,0,3,0,5,50000,0,0,66
658089,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,7,0,72
657349,Phường Ba Láng,CRG,Fiber,1,3,0,0,0,0,0,0,0,0,0,5,150000,0,0,96
589539,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,81818,3,0,70
640819,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,1,0,66
658645,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,59
589154,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,0,0,72
627925,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,3,0,72
660676,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,4,50000,0,1,72
658212,Phường Lê Bình,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,0,0,72
658136,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,64
657383,Phường Châu Văn Liêm,OMN,MyTV,0,4,0,0,0,0,0,0,0,0,0,5,81818,0,0,72
654027,Xã Tân Thạnh,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72
658131,Xã Tân Thới,PDN,MyTV,0,2,0,0,0,0,1,0,1,3,0,5,50000,0,0,70
658711,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
660172,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,3,0,4,50000,0,0,72
588686,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,5,0,72
660657,Phường Long Hưng,OMN,MyTV,0,3,0,0,0,0,1,0,1,0,0,4,50000,0,0,72
654216,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,81818,6,0,72
585271,Phường An Thới,BTY,Fiber,0,3,1,1,0,1,1,0,1,0,0,7,209091,0,0,40
616225,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,0,0,0,5,0,6,50000,0,1,72
610389,Phường Cái Khế,NKU,MyTV,0,5,0,0,0,0,0,0,0,0,0,6,50000,0,0,64
658273,Xã Nhơn Nghĩa,PDN,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,1,0,64
588345,Phường Xuân Khánh,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,6,81818,2,0,72
655422,Phường Phú Thứ,CRG,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,1,0,67
588563,Phường Bùi Hữu Nghĩa,BTY,Fiber,0,3,0,0,0,0,0,0,0,0,0,6,150000,0,0,72
585584,Phường Hưng Lợi,NKU,MyTV,0,2,1,0,0,0,0,0,0,0,0,7,50000,0,0,40
585907,Phường Thường Thạnh,CRG,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,163636,0,0,40
627625,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,5,0,72
656654,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,2,0,5,50000,6,0,66
589986,Phường Bình Thuỷ,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,6,50000,0,0,72
627646,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,1,72
656541,Phường Trung Nhứt,TNT,MyTV,0,6,0,0,0,0,1,0,1,1,0,5,50000,0,0,72
655278,Phường Trung Kiên,TNT,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,81818,0,0,72
587352,Xã Thới Đông,CDO,MyTV,0,2,0,0,0,0,1,0,1,2,0,7,50000,5,0,72
622056,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,0,72
585013,Thị Trấn Phong Điền,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,50000,0,0,66
584879,Phường An Bình,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,7,81818,0,0,66
592390,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,1,0,66
585205,Xã Trung Thạnh,CDO,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,154545,0,0,40
585263,Phường Thường Thạnh,CRG,MyTV,0,4,0,0,0,0,0,0,0,0,0,7,50000,3,0,40
585292,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,0,0,70
585569,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,50000,0,0,40
673961,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,36363,0,0,70
673101,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,1,72
671066,Phường Trường Lạc,OMN,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,0,72
672678,Phường An Khánh,NKU,MyTV,0,3,0,0,0,0,0,0,0,1,0,1,36363,0,1,72
671106,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,2,50000,0,0,72
673506,Phường An Cư,NKU,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,70
664904,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,1,0,61
672065,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,1,50000,0,0,72
672503,Xã Thới Hưng,CDO,MyTV,0,4,0,0,0,0,0,0,0,0,0,1,50000,0,0,60
666036,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,3,50000,0,0,64
664684,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,1,0,1,1,0,3,81818,1,0,72
673071,Thị Trấn Phong Điền,PDN,MyTV,0,3,0,0,0,0,0,0,0,2,0,1,68182,0,0,72
673749,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,66
671179,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,3,0,2,50000,0,0,72
667159,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,4,0,3,81818,0,0,70
667792,Phường Tân An,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,50000,0,0,70
668709,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,50000,0,1,72
673504,Phường Thới Bình,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,50000,0,0,72
667157,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,3,50000,0,0,72
671738,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,2,0,1,50000,0,0,72
668983,Phường An Cư,NKU,MyTV,0,2,0,0,0,0,1,0,1,1,0,2,50000,0,1,72
668025,Xã Thới Thạnh,TLI,MyTV,0,3,0,0,0,0,1,0,1,2,0,2,81818,2,1,72
668149,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,81818,2,0,60
673877,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,66
668934,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,0,0,2,68182,1,0,70
674612,Phường Xuân Khánh,NKU,Fiber,1,14,0,0,0,0,0,0,0,4,1,0,147273,0,0,96
671034,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,68182,0,0,72
674973,Phường Thuận An,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,0,50000,0,0,72
627923,Xã Tân Thạnh,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72
656642,Phường An Phú,NKU,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,81818,0,1,72
627915,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,2,0,6,50000,0,0,72
589349,Phường An Khánh,NKU,MyTV,0,5,0,0,0,0,0,0,0,1,0,6,50000,6,1,72
592257,Phường An Khánh,NKU,MyTV,1,3,0,0,0,0,0,0,0,0,0,6,81818,5,0,88
589997,Xã Trung Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72
640805,TT Vĩnh Thạnh,VTA,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,81818,9,0,72
585525,Phường An Thới,BTY,Fiber,0,3,0,0,0,0,0,0,0,0,0,7,177272,0,0,40
587195,Xã Nhơn Nghĩa,PDN,MyTV,0,3,0,0,0,0,1,0,1,3,0,7,50000,1,0,72
654270,Phường Thới Bình,NKU,MyTV,0,3,0,0,0,0,0,0,0,3,0,5,36363,4,1,72
616304,Phường An Thới,BTY,MyTV,0,4,0,0,0,0,0,0,0,0,0,6,81818,7,1,72
587802,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,81818,5,0,72
657695,Phường Hưng Phú,CRG,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,6,0,72
589810,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,5,0,66
610474,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,4,0,6,50000,4,0,72
657054,Xã Thạnh Phú,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,0,0,62
657355,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,0,0,70
634013,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,70
586060,Phường Phú Thứ,CRG,MyTV,0,3,0,0,0,0,1,0,1,3,0,7,50000,8,0,72
655048,Xã Nhơn ái,PDN,MyTV,0,2,0,0,0,0,0,0,0,2,0,5,50000,0,0,70
655340,Phường Hưng Thạnh,CRG,MyTV,1,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72
589852,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,7,0,72
654651,Phường Long Tuyền,BTY,MyTV,0,3,1,0,0,0,0,0,0,0,0,5,50000,0,1,72
586023,Phường An Nghiệp,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,36363,0,0,40
586066,Phường Thới An Đông,BTY,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,154545,0,0,40
657633,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,2,0,72
657683,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,3,0,70
657271,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
585207,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,50000,1,0,40
587129,Phường An Bình,NKU,Fiber,0,2,0,0,0,0,1,0,1,0,0,7,154545,0,0,40
640829,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,7,0,72
658322,Phường Bùi Hữu Nghĩa,BTY,MyTV,1,4,0,0,0,0,1,0,1,2,0,5,81818,5,0,96
657731,Phường Thường Thạnh,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,60
657079,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,68182,0,0,72
590157,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,0,0,0,3,0,6,50000,2,0,72
658362,Phường Tân Phú,CRG,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,2,1,58
587860,Phường Hưng Phú,CRG,MyTV,0,2,1,0,0,0,0,0,0,2,0,7,50000,8,0,72
671357,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,1,50000,0,0,72
670101,Phường An Cư,NKU,MyTV,1,56,0,0,0,0,0,0,0,0,0,2,50000,0,1,80
672918,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,3,0,1,50000,0,0,72
673770,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,70
674607,Phường An Cư,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,0,50000,0,0,72
674365,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,1,72
674474,Phường Tân An,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,0,36363,0,0,72
667640,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,3,81818,2,0,72
673042,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,50000,0,1,72
674426,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,36363,0,0,72
668984,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,0,0,0,0,0,2,81818,0,0,72
663372,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,0,0,70
665009,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,2,0,3,50000,0,0,72
669991,Phường Hưng Thạnh,CRG,Fiber,1,3,0,0,0,0,1,0,1,0,0,2,163636,0,0,54
671340,Xã Trung Thạnh,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,1,50000,1,0,72
674845,Phường Thới An,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,1,72
665013,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,0,0,59
664521,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,62
670228,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,1,72
669959,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,1,0,1,1,0,2,50000,0,1,72
666831,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,2,0,72
665077,Phường Thới Hòa,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,3,81818,2,0,70
663341,Phường Long Hưng,OMN,MyTV,0,3,0,0,0,0,1,0,1,0,0,4,50000,0,0,64
609668,Xã Đông Thuận,TLI,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,0,0,72
592261,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72
622181,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,1,72
640792,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,1,70
653681,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
616412,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,70
657146,Xã Nhơn ái,PDN,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,57000,1,0,60
655052,Phường Thới Hòa,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,4,0,72
585640,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,1,0,1,1,0,7,36363,0,0,72
654139,Phường Trung Nhứt,TNT,MyTV,0,3,0,0,0,0,0,0,0,3,0,5,50000,5,0,68
627647,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72
588593,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,70
655095,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72
585621,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,68182,0,0,72
653928,Phường Lê Bình,CRG,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,5,0,72
655027,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
655035,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,3,0,5,50000,0,0,72
654271,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,1,64
658061,Phường Hưng Lợi,NKU,MyTV,0,4,0,0,0,0,1,0,1,0,0,5,81818,0,0,72
654645,Phường Thuận Hưng,TNT,MyTV,0,3,0,0,0,0,0,0,0,4,0,5,81818,1,0,72
658402,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,0,0,72
646759,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,1,0,6,50000,6,0,72
634016,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,56
