MAKHACHHANG,PHUONGXA,QUANHUYEN,LOAIDICHVU,LOAIKHACHHANG,SODICHVU,SOLANBAOHONG,SOLANGOIKIEMBAOHONG,SOLANBAOHONGHAILONG,SOLANBAOHONGKHONGHAILONG,KHAOSATLAPMOI,KHAOSATLAPMOIHAILONG,KHAOSATLAPMOIKHONGHAILONG,SOLANCHAMSOC,SOLANTAMNGUNG,SOTHANGSUDUNGDICHVU,GIADICHVU,KHONGPHATSINHLUULUONG,HINHTHUCTHANHTOAN,DIEMTINNHIEM,THANHLY
674923,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,0,72,0
583998,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,81818,0,0,40,0
585882,Phường Trà Nóc,BTY,MyTV,0,3,0,0,0,0,1,0,1,0,0,7,50000,2,1,72,0
654067,Xã Đông Hiệp,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,60,0
588912,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72,0
589896,Phường Phú Thứ,CRG,MyTV,1,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,96,0
590051,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,0,72,0
660727,Phường Thường Thạnh,CRG,MyTV,0,3,0,0,0,0,1,0,1,1,0,4,50000,0,1,72,0
610456,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,72,0
585663,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,2,0,7,81818,0,0,72,0
585502,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,37,0
586701,Phường An Bình,NKU,Fiber,0,2,0,0,0,0,1,0,1,0,0,7,154545,0,1,40,0
657081,Phường Thới Hòa,OMN,MyTV,0,5,0,0,0,0,0,0,0,1,0,5,81818,0,0,72,0
585536,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,0,0,7,50000,0,0,40,0
585537,Phường Cái Khế,NKU,Fiber,0,3,0,0,0,0,0,0,0,0,0,7,177272,0,0,40,0
657843,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,6,0,70,0
658387,Phường Tân Phú,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,1,0,60,0
587452,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,4,0,72,0
588000,Phường Thới Thuận,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,81818,1,0,72,0
610461,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,7,0,66,0
657368,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,0,1,72,0
587100,Phường An Nghiệp,NKU,Fiber,0,2,1,0,0,0,1,0,1,0,0,7,154545,0,0,40,0
592451,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,64,0
657210,Xã Tân Thới,PDN,MyTV,0,2,0,0,0,0,0,0,0,3,0,5,50000,0,0,66,0
658089,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,7,0,72,0
657349,Phường Ba Láng,CRG,Fiber,1,3,0,0,0,0,0,0,0,0,0,5,150000,0,0,96,0
589539,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,81818,3,0,70,0
640819,Phường Thới Long,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,1,0,66,0
658645,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,59,0
589154,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,0,0,72,0
627925,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,3,0,72,0
660676,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,4,50000,0,1,72,0
658212,Phường Lê Bình,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,0,0,72,0
658136,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,64,0
657383,Phường Châu Văn Liêm,OMN,MyTV,0,4,0,0,0,0,0,0,0,0,0,5,81818,0,0,72,0
654027,Xã Tân Thạnh,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72,0
658131,Xã Tân Thới,PDN,MyTV,0,2,0,0,0,0,1,0,1,3,0,5,50000,0,0,70,0
658711,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72,0
660172,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,3,0,4,50000,0,0,72,0
588686,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,5,0,72,0
660657,Phường Long Hưng,OMN,MyTV,0,3,0,0,0,0,1,0,1,0,0,4,50000,0,0,72,0
654216,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,81818,6,0,72,0
585271,Phường An Thới,BTY,Fiber,0,3,1,1,0,1,1,0,1,0,0,7,209091,0,0,40,0
616225,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,0,0,0,5,0,6,50000,0,1,72,0
610389,Phường Cái Khế,NKU,MyTV,0,5,0,0,0,0,0,0,0,0,0,6,50000,0,0,64,0
658273,Xã Nhơn Nghĩa,PDN,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,1,0,64,0
588345,Phường Xuân Khánh,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,6,81818,2,0,72,0
655422,Phường Phú Thứ,CRG,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,1,0,67,0
588563,Phường Bùi Hữu Nghĩa,BTY,Fiber,0,3,0,0,0,0,0,0,0,0,0,6,150000,0,0,72,0
585584,Phường Hưng Lợi,NKU,MyTV,0,2,1,0,0,0,0,0,0,0,0,7,50000,0,0,40,0
585907,Phường Thường Thạnh,CRG,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,163636,0,0,40,0
627625,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,5,0,72,0
656654,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,2,0,5,50000,6,0,66,0
589986,Phường Bình Thuỷ,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,6,50000,0,0,72,0
627646,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,1,72,0
656541,Phường Trung Nhứt,TNT,MyTV,0,6,0,0,0,0,1,0,1,1,0,5,50000,0,0,72,0
655278,Phường Trung Kiên,TNT,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,81818,0,0,72,0
587352,Xã Thới Đông,CDO,MyTV,0,2,0,0,0,0,1,0,1,2,0,7,50000,5,0,72,0
622056,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,0,72,0
585013,Thị Trấn Phong Điền,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,50000,0,0,66,0
584879,Phường An Bình,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,7,81818,0,0,66,0
592390,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,1,0,66,0
585205,Xã Trung Thạnh,CDO,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,154545,0,0,40,0
585263,Phường Thường Thạnh,CRG,MyTV,0,4,0,0,0,0,0,0,0,0,0,7,50000,3,0,40,0
585292,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,0,0,70,0
585569,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,50000,0,0,40,0
673961,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,36363,0,0,70,0
673101,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,1,72,0
671066,Phường Trường Lạc,OMN,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,0,72,0
672678,Phường An Khánh,NKU,MyTV,0,3,0,0,0,0,0,0,0,1,0,1,36363,0,1,72,0
671106,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,2,50000,0,0,72,0
673506,Phường An Cư,NKU,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,70,0
664904,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,1,0,61,0
672065,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,1,50000,0,0,72,0
672503,Xã Thới Hưng,CDO,MyTV,0,4,0,0,0,0,0,0,0,0,0,1,50000,0,0,60,0
666036,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,3,50000,0,0,64,0
664684,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,1,0,1,1,0,3,81818,1,0,72,0
673071,Thị Trấn Phong Điền,PDN,MyTV,0,3,0,0,0,0,0,0,0,2,0,1,68182,0,0,72,0
673749,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,66,0
671179,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,3,0,2,50000,0,0,72,0
667159,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,4,0,3,81818,0,0,70,0
667792,Phường Tân An,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,50000,0,0,70,0
668709,Phường An Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,50000,0,1,72,0
673504,Phường Thới Bình,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,50000,0,0,72,0
667157,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,3,50000,0,0,72,0
671738,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,2,0,1,50000,0,0,72,0
668983,Phường An Cư,NKU,MyTV,0,2,0,0,0,0,1,0,1,1,0,2,50000,0,1,72,0
668025,Xã Thới Thạnh,TLI,MyTV,0,3,0,0,0,0,1,0,1,2,0,2,81818,2,1,72,0
668149,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,81818,2,0,60,0
673877,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,66,0
668934,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,0,0,2,68182,1,0,70,0
674612,Phường Xuân Khánh,NKU,Fiber,1,14,0,0,0,0,0,0,0,4,1,0,147273,0,0,96,0
671034,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,2,68182,0,0,72,0
674973,Phường Thuận An,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,0,50000,0,0,72,0
627923,Xã Tân Thạnh,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72,0
656642,Phường An Phú,NKU,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,81818,0,1,72,0
627915,Phường Hưng Thạnh,CRG,MyTV,0,3,0,0,0,0,0,0,0,2,0,6,50000,0,0,72,0
589349,Phường An Khánh,NKU,MyTV,0,5,0,0,0,0,0,0,0,1,0,6,50000,6,1,72,0
592257,Phường An Khánh,NKU,MyTV,1,3,0,0,0,0,0,0,0,0,0,6,81818,5,0,88,0
589997,Xã Trung Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72,0
640805,TT Vĩnh Thạnh,VTA,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,81818,9,0,72,0
585525,Phường An Thới,BTY,Fiber,0,3,0,0,0,0,0,0,0,0,0,7,177272,0,0,40,0
587195,Xã Nhơn Nghĩa,PDN,MyTV,0,3,0,0,0,0,1,0,1,3,0,7,50000,1,0,72,0
654270,Phường Thới Bình,NKU,MyTV,0,3,0,0,0,0,0,0,0,3,0,5,36363,4,1,72,0
616304,Phường An Thới,BTY,MyTV,0,4,0,0,0,0,0,0,0,0,0,6,81818,7,1,72,0
587802,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,81818,5,0,72,0
657695,Phường Hưng Phú,CRG,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,6,0,72,0
589810,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,5,0,66,0
610474,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,4,0,6,50000,4,0,72,0
657054,Xã Thạnh Phú,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,0,0,62,0
657355,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,0,0,70,0
634013,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,70,0
586060,Phường Phú Thứ,CRG,MyTV,0,3,0,0,0,0,1,0,1,3,0,7,50000,8,0,72,0
655048,Xã Nhơn ái,PDN,MyTV,0,2,0,0,0,0,0,0,0,2,0,5,50000,0,0,70,0
655340,Phường Hưng Thạnh,CRG,MyTV,1,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72,0
589852,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,7,0,72,0
654651,Phường Long Tuyền,BTY,MyTV,0,3,1,0,0,0,0,0,0,0,0,5,50000,0,1,72,0
586023,Phường An Nghiệp,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,36363,0,0,40,0
586066,Phường Thới An Đông,BTY,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,154545,0,0,40,0
657633,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,2,0,72,0
657683,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,3,0,70,0
657271,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72,0
585207,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,7,50000,1,0,40,0
587129,Phường An Bình,NKU,Fiber,0,2,0,0,0,0,1,0,1,0,0,7,154545,0,0,40,0
640829,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,7,0,72,0
658322,Phường Bùi Hữu Nghĩa,BTY,MyTV,1,4,0,0,0,0,1,0,1,2,0,5,81818,5,0,96,0
657731,Phường Thường Thạnh,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,60,0
657079,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,68182,0,0,72,0
590157,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,0,0,0,3,0,6,50000,2,0,72,0
658362,Phường Tân Phú,CRG,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,50000,2,1,58,0
587860,Phường Hưng Phú,CRG,MyTV,0,2,1,0,0,0,0,0,0,2,0,7,50000,8,0,72,0
671357,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,1,50000,0,0,72,0
670101,Phường An Cư,NKU,MyTV,1,56,0,0,0,0,0,0,0,0,0,2,50000,0,1,80,0
672918,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,3,0,1,50000,0,0,72,0
673770,Phường Trung Kiên,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,70,0
674607,Phường An Cư,NKU,MyTV,0,3,0,0,0,0,0,0,0,0,0,0,50000,0,0,72,0
674365,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,1,72,0
674474,Phường Tân An,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,0,36363,0,0,72,0
667640,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,3,81818,2,0,72,0
673042,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,1,50000,0,1,72,0
674426,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,36363,0,0,72,0
668984,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,0,0,0,0,0,2,81818,0,0,72,0
663372,Phường Tân Lộc,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,0,0,70,0
665009,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,2,0,3,50000,0,0,72,0
669991,Phường Hưng Thạnh,CRG,Fiber,1,3,0,0,0,0,1,0,1,0,0,2,163636,0,0,54,0
671340,Xã Trung Thạnh,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,1,50000,1,0,72,0
674845,Phường Thới An,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,0,50000,0,1,72,0
665013,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,0,0,59,0
664521,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,62,0
670228,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,1,72,0
669959,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,1,0,1,1,0,2,50000,0,1,72,0
666831,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,2,0,72,0
665077,Phường Thới Hòa,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,3,81818,2,0,70,0
663341,Phường Long Hưng,OMN,MyTV,0,3,0,0,0,0,1,0,1,0,0,4,50000,0,0,64,0
609668,Xã Đông Thuận,TLI,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,50000,0,0,72,0
592261,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72,0
622181,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,1,72,0
640792,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,4,1,70,0
653681,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,5,50000,0,0,72,0
616412,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,70,0
657146,Xã Nhơn ái,PDN,MyTV,0,2,0,0,0,0,1,0,1,0,0,5,57000,1,0,60,0
655052,Phường Thới Hòa,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,4,0,72,0
585640,Phường Tân Hưng,TNT,MyTV,0,3,0,0,0,0,1,0,1,1,0,7,36363,0,0,72,0
654139,Phường Trung Nhứt,TNT,MyTV,0,3,0,0,0,0,0,0,0,3,0,5,50000,5,0,68,0
627647,Xã Vĩnh Bình,VTA,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,50000,0,0,72,0
588593,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,70,0
655095,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72,0
585621,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,7,68182,0,0,72,0
